Journal,Quartile,IF
1616 anuario de literatura comparada,,<0.1
20 et 21 revue d histoire,Q4,<0.1
2d materials,Q2,4.3
3 biotech,Q3,3.1
3d printing and additive manufacturing,Q3,2.5
3d printing in medicine,Q2,3.1
3l language linguistics literature the southeast asian journal of english language studies,,0.8
452 f revista de teoria de la literatura y literatura comparada,,<0.1
4or a quarterly journal of operations research,Q3,2
a a practice,Q4,0.7
a c revista de direito administrativo constitucional,Q3,0.4
a u architecture and urbanism,,<0.1
aaa arbeiten aus anglistik und amerikanistik,,0.1
aace clinical case reports,Q4,0.9
aace endocrinology and diabetes,,N/A
aacn advanced critical care,Q3,1.5
aapg bulletin,Q2,2.7
aapps bulletin,Q1,4.2
aaps journal,Q2,3.4
aaps pharmscitech,Q1,5.1
aatcc journal of research,Q3,1.5
aatcc review,Q3,1.2
ab imperio studies of new imperial history and nationalism in the post soviet space,Q2,0.4
abacus a journal of accounting finance and business studies,Q3,1.7
abakos,Q4,<0.1
abanico veterinario,Q4,0.4
abcd arquivos brasileiros de cirurgia digestiva brazilian archives of digestive surgery,Q3,1.8
abdominal radiology,Q2,2.3
abe journal,,0.4
abhandlungen aus dem mathematischen seminar der universitat hamburg,Q4,0.2
abiotech,Q1,8.5
aboriginal history,Q3,0.1
abriu estudos de textualidade do brasil galicia e portugal,,0.1
academia revista latinoamericana de administracion,Q3,1.8
academia y virtualidad,Q4,0.2
academic emergency medicine,Q1,3.2
academic journal of modern philology,,0.1
academic medicine,Q1,4.5
academic pathology,Q3,2
academic pediatrics,Q1,2.8
academic psychiatry,Q1,2.6
academic radiology,Q1,4.7
academy of management annals,Q1,18
academy of management discoveries,Q1,5.1
academy of management journal,Q1,12.8
academy of management learning education,Q1,7.4
academy of management perspectives,Q1,6.9
academy of management review,Q1,13.8
academy review,Q4,0.4
acadiensis,Q4,<0.1
acarologia,Q3,1.2
access access to science business innovation in the digital economy,Q3,1.3
access to justice in eastern europe,Q3,0.5
accident analysis and prevention,Q1,7.4
accion psicologica,Q4,0.7
acciones e investigaciones sociales,Q4,0.3
accountability in research ethics integrity and policy,Q1,4.4
accounting and business research,Q2,2.5
accounting and finance,Q2,2.6
accounting auditing accountability journal,Q2,2.7
accounting economics and law a convivium,Q4,0.9
accounting education,Q2,2.5
accounting forum,Q1,4.1
accounting historians journal,Q3,1.4
accounting history,Q3,1.2
accounting history review,Q4,0.8
accounting horizons,Q2,2.5
accounting in europe,Q1,7.6
accounting organizations and society,Q1,4.5
accounting perspectives,Q3,1.1
accounting research journal,Q2,3.3
accounting review,Q1,4
accounts of chemical research,Q1,18
accounts of materials research,Q1,14.1
accreditation and quality assurance,Q4,1.1
ace architecture city and environment,Q4,0.9
acervo,Q3,0.1
acg case reports journal,Q4,0.6
