Title,Quartile
1700-tal: Nordic Journal for Eighteenth-Century Studies,Q4
20 & 21: Revue d'Histoire,Q3
2D Materials,Q1
3 Biotech,Q1
3D Printing and Additive Manufacturing,Q2
3D Printing in Medicine,Q2
"3L: Language, Linguistics, Literature",Q1
452ºF,Q2
4OR,Q1
@GRH,Q4
A + U-Architecture and Urbanism,Q4
A Contrario,Q4
A and A Practice,Q3
A e C - Revista de Direito Administrativo e Constitucional,Q2
A/Z ITU Journal of the Faculty of Architecture,Q2
AAA - Arbeiten aus Anglistik und Amerikanistik,Q3
AAC: Augmentative and Alternative Communication,Q2
AACE Endocrinology and Diabetes,Q3
AACL Bioflux,Q4
AACN Advanced Critical Care,Q3
AAO Journal,Q4
AAPG Bulletin,Q1
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",Q2
AAPPS Bulletin,Q1
AAPS Journal,Q2
AAPS PharmSciTech,Q1
AAS Open Research,Q2
AATCC Journal of Research,Q3
ABAC Journal,Q2
ACDI Anuario Colombiano de Derecho Internacional,Q4
ACI Materials Journal,Q2
ACI Structural Journal,Q2
ACM Communications in Computer Algebra,Q3
ACM Computing Surveys,Q1
ACM Journal of Experimental Algorithmics,Q2
ACM Journal on Emerging Technologies in Computing Systems,Q2
ACM Transactions on Accessible Computing,Q2
ACM Transactions on Algorithms,Q1
ACM Transactions on Applied Perception,Q3
ACM Transactions on Architecture and Code Optimization,Q2
ACM Transactions on Asian and Low-Resource Language Information Processing,Q2
ACM Transactions on Autonomous and Adaptive Systems,Q2
ACM Transactions on Computation Theory,Q2
ACM Transactions on Computational Logic,Q2
ACM Transactions on Computer Systems,Q3
ACM Transactions on Computer-Human Interaction,Q2
ACM Transactions on Computing Education,Q1
ACM Transactions on Computing for Healthcare,Q1
ACM Transactions on Cyber-Physical Systems,Q2
ACM Transactions on Database Systems,Q2
ACM Transactions on Design Automation of Electronic Systems,Q2
ACM Transactions on Economics and Computation,Q3
ACM Transactions on Embedded Computing Systems,Q2
ACM Transactions on Evolutionary Learning and Optimization,Q1
ACM Transactions on Graphics,Q1
ACM Transactions on Human-Robot Interaction,Q1
ACM Transactions on Information Systems,Q1
ACM Transactions on Intelligent Systems and Technology,Q1
ACM Transactions on Interactive Intelligent Systems,Q2
ACM Transactions on Internet Technology,Q1
ACM Transactions on Internet of Things,Q1
ACM Transactions on Knowledge Discovery from Data,Q1
ACM Transactions on Management Information Systems,Q1
ACM Transactions on Mathematical Software,Q1
ACM Transactions on Modeling and Computer Simulation,Q2
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Q3
"ACM Transactions on Multimedia Computing, Communications and Applications",Q1
ACM Transactions on Parallel Computing,Q3
ACM Transactions on Privacy and Security,Q1
ACM Transactions on Programming Languages and Systems,Q2
ACM Transactions on Quantum Computing,Q1
ACM Transactions on Reconfigurable Technology and Systems,Q2
ACM Transactions on Sensor Networks,Q1
ACM Transactions on Software Engineering and Methodology,Q1
ACM Transactions on Spatial Algorithms and Systems,Q2
ACM Transactions on Storage,Q2
ACM Transactions on the Web,Q1
ACME,Q1
ACR Open Rheumatology,Q1
ACRN Journal of Finance and Risk Perspectives,Q4
ACS Agricultural Science and Technology,Q2
ACS Applied Bio Materials,Q1
ACS Applied Electronic Materials,Q1
ACS Applied Energy Materials,Q1
ACS Applied Materials and Interfaces,Q1
ACS Applied Nano Materials,Q1
ACS Applied Optical Materials,Q2
ACS Applied Polymer Materials,Q1
ACS Bio and Med Chem Au,Q1
