中文刊名,英文刊名
机械工程学报,Chinese Journal of Mechanical Engineering
中国机械工程,China Mechanical Engineering
石油勘探与开发,Petroleum Exploration and Development
石油学报,Acta Petrolei Sinica
石油学报(石油加工),Acta Petrolei Sinica Petroleum Processing Section
中国石油大学学报(自然科学版),Journal of China University of Petroleum
摩擦学学报,Tribology
振动与冲击,Journal of Vibration and Shock
振动工程学报,Journal of Vibration Engineering
交通运输工程学报,Journal of Traffic and Transportation Engineering
铁道学报,Journal of the China Railway Society
铁道工程学报,Journal of Railway Engineering Society
中国铁道科学,China Railway Science
西南交通大学学报,Journal of Southwest Jiaotong University
润滑与密封,Lubrication Engineering
表面技术,Surface Technology
机械强度,Journal of Mechanical Strength
材料工程,Journal of Materials Engineering
机械设计与制造,Machinery Design and Manufacture
